num_tokens,num_sents,avg_sentence_length,type_token_ratio,noun_ratio,verb_ratio,adj_ratio,adv_ratio,sentiment_polarity,extraversion_ratio,agreeableness_ratio,conscientiousness_ratio,neuroticism_ratio,openness_ratio
89,5,18,0.6966,0.2247,0.1124,0.1236,0.0562,0.0903,0.0225,0.0,0.0,0.0,0.0112
66,5,13,0.803,0.2727,0.0758,0.1364,0.0455,0.4658,0.0152,0.0,0.0,0.0,0.0152
69,5,14,0.7246,0.2029,0.1014,0.1594,0.0725,0.4428,0.0,0.0,0.0,0.0,0.0435
49,3,16,0.7551,0.2245,0.0612,0.102,0.102,0.0708,0.0,0.0,0.0,0.0,0.0
68,4,17,0.7794,0.1912,0.0882,0.1471,0.0735,0.2264,0.0147,0.0,0.0147,0.0,0.0147
54,5,11,0.7593,0.2407,0.037,0.2222,0.0185,0.2562,0.0,0.0,0.0,0.0,0.037
84,5,17,0.7738,0.2024,0.0952,0.1429,0.0595,0.2967,0.0119,0.0,0.0,0.0,0.0238
49,5,10,0.8571,0.2449,0.102,0.1224,0.0816,0.1828,0.0204,0.0,0.0,0.0,0.0408
62,4,16,0.7419,0.2419,0.0968,0.129,0.0484,0.4104,0.0323,0.0,0.0,0.0,0.0
45,4,11,0.8667,0.2,0.1111,0.1333,0.1111,0.1433,0.0444,0.0,0.0,0.0,0.0222
60,5,12,0.7667,0.2,0.0833,0.1667,0.0667,0.108,0.0167,0.0,0.0,0.0,0.05
75,5,15,0.7067,0.1867,0.1467,0.1333,0.04,0.2587,0.0133,0.0,0.0,0.0,0.04
46,5,9,0.8478,0.2174,0.087,0.2174,0.0217,0.4646,0.0217,0.0,0.0,0.0,0.0
76,5,15,0.7105,0.2763,0.0395,0.1316,0.0658,0.09,0.0263,0.0,0.0132,0.0,0.0132
79,5,16,0.6835,0.2025,0.0633,0.1519,0.0506,0.1913,0.0127,0.0,0.0,0.0,0.0
48,4,12,0.7917,0.25,0.0625,0.125,0.0625,0.6575,0.0208,0.0,0.0,0.0,0.0
42,4,10,0.8333,0.2381,0.119,0.1667,0.0238,-0.0653,0.0,0.0,0.0238,0.0,0.0
70,7,10,0.7286,0.1571,0.1286,0.1429,0.0714,0.3818,0.0286,0.0,0.0,0.0143,0.0286
95,7,14,0.6947,0.2316,0.0842,0.1053,0.0737,0.2288,0.0211,0.0,0.0,0.0,0.0211
47,3,16,0.8085,0.2128,0.1064,0.1702,0.0426,0.0829,0.0,0.0,0.0213,0.0,0.0213
42,4,10,0.8571,0.1667,0.119,0.1667,0.119,0.6036,0.0,0.0,0.0,0.0,0.0476
43,4,11,0.9767,0.0465,0.1163,0.1628,0.0698,0.5071,0.0,0.0,0.0,0.0,0.0465
75,5,15,0.8,0.2,0.12,0.1067,0.04,0.38,0.0,0.0,0.0,0.0,0.0
65,5,13,0.7231,0.2462,0.0769,0.1692,0.0462,0.4333,0.0154,0.0,0.0154,0.0,0.0154
50,5,10,0.76,0.18,0.06,0.16,0.1,0.5167,0.02,0.0,0.0,0.0,0.0
77,4,19,0.7792,0.1818,0.1039,0.0909,0.0519,0.2444,0.013,0.0,0.0,0.0,0.013
83,4,21,0.7108,0.2651,0.0723,0.0723,0.0723,0.1979,0.012,0.0,0.0,0.0,0.0241
50,5,10,0.8,0.2,0.06,0.16,0.06,0.4556,0.02,0.0,0.0,0.0,0.0
53,5,11,0.7736,0.1509,0.0566,0.1509,0.1132,0.3683,0.0,0.0,0.0,0.0,0.0189
