num_tokens,num_sents,avg_sentence_length,type_token_ratio,noun_ratio,verb_ratio,adj_ratio,adv_ratio,sentiment_polarity,extraversion_ratio,agreeableness_ratio,conscientiousness_ratio,neuroticism_ratio,openness_ratio
94,6,16,0.5957,0.234,0.1064,0.1064,0.0106,-0.0356,0.0213,0.0,0.0,0.0,0.0106
6,1,6,1.0,0.0,0.1667,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0
62,4,16,0.6935,0.2258,0.0968,0.1613,0.0,0.6187,0.0161,0.0,0.0161,0.0,0.0484
95,6,16,0.6421,0.2,0.0526,0.1053,0.0316,0.2152,0.0526,0.0421,0.0,0.0,0.0526
78,4,20,0.7179,0.1923,0.1154,0.0641,0.0641,0.2577,0.0,0.0,0.0,0.0,0.0256
19,2,10,1.0,0.1053,0.0,0.1053,0.0526,0.6,0.0,0.0,0.0,0.0,0.0
114,5,23,0.6579,0.1754,0.0965,0.0877,0.0263,0.3216,0.0263,0.0088,0.0175,0.0,0.0526
14,1,14,1.0,0.2857,0.1429,0.2857,0.0,0.3833,0.0714,0.0,0.0,0.0,0.0714
107,6,18,0.6636,0.1776,0.0467,0.1028,0.0654,0.2408,0.0093,0.0,0.0,0.0,0.0187
59,4,15,0.7797,0.2712,0.1186,0.0847,0.0,0.3467,0.0508,0.0339,0.0,0.0,0.0339
107,7,15,0.6636,0.2056,0.1028,0.0841,0.028,0.3458,0.0,0.0,0.0187,0.0,0.0187
111,8,14,0.5766,0.1892,0.1622,0.0721,0.0721,0.147,0.027,0.0,0.0,0.0,0.036
115,9,13,0.6957,0.1826,0.113,0.1217,0.0696,0.2271,0.0348,0.0,0.0,0.0,0.0348
113,6,19,0.646,0.1947,0.1062,0.115,0.0177,0.3298,0.0265,0.0088,0.0088,0.0,0.0531
112,8,14,0.6875,0.1696,0.1071,0.0804,0.0982,0.2212,0.0089,0.0,0.0179,0.0,0.0
98,4,24,0.602,0.1939,0.0918,0.1429,0.0102,0.4958,0.0102,0.0,0.0,0.0,0.0306
97,5,19,0.6804,0.1649,0.0619,0.0722,0.0722,-0.0571,0.0103,0.0,0.0,0.0,0.0
110,6,18,0.6636,0.1364,0.1364,0.1182,0.0545,0.2204,0.0273,0.0091,0.0091,0.0091,0.0182
53,3,18,0.8113,0.1698,0.1698,0.1321,0.0377,0.2687,0.0189,0.0,0.0189,0.0,0.0943
109,6,18,0.6972,0.1651,0.1101,0.0826,0.0734,0.3755,0.0092,0.0092,0.0092,0.0092,0.0092
107,5,21,0.7196,0.1589,0.0561,0.0841,0.0935,0.5429,0.0374,0.0187,0.0,0.0,0.028
110,5,22,0.7091,0.2364,0.0909,0.1273,0.0455,0.3204,0.0,0.0,0.0091,0.0,0.0364
54,3,18,0.7593,0.2963,0.037,0.1111,0.0185,0.6138,0.0,0.0,0.0185,0.0,0.0
112,6,19,0.6518,0.1875,0.0893,0.0625,0.0714,0.3917,0.0357,0.0,0.0179,0.0,0.0
82,6,14,0.6951,0.1585,0.061,0.122,0.0732,0.3454,0.0122,0.0,0.0244,0.0,0.0366
104,7,15,0.6923,0.1827,0.1058,0.0962,0.0288,0.3745,0.0192,0.0,0.0096,0.0,0.0385
56,3,19,0.75,0.1607,0.0893,0.0893,0.0714,0.5639,0.0179,0.0,0.0,0.0,0.0
108,6,18,0.6852,0.2222,0.1204,0.0741,0.0185,0.0149,0.0093,0.0,0.0093,0.0,0.0093
42,4,10,0.881,0.1667,0.119,0.1429,0.119,0.3583,0.0714,0.0714,0.0238,0.0,0.0714
71,5,14,0.6901,0.1268,0.1127,0.1268,0.0563,0.0949,0.0,0.0,0.0141,0.0,0.0282
108,5,22,0.6944,0.1574,0.0833,0.1481,0.0463,0.1193,0.0185,0.0,0.0093,0.0,0.0185
106,5,21,0.7264,0.1981,0.1132,0.1415,0.0377,0.2743,0.0,0.0,0.0,0.0,0.0094
108,6,18,0.6481,0.1574,0.1019,0.0926,0.0926,0.2207,0.0185,0.0,0.0,0.0,0.0278
98,7,14,0.7653,0.1531,0.0408,0.1327,0.0918,0.4375,0.0,0.0,0.0102,0.0,0.0
