num_tokens,num_sents,avg_sentence_length,type_token_ratio,noun_ratio,verb_ratio,adj_ratio,adv_ratio,sentiment_polarity,extraversion_ratio,agreeableness_ratio,conscientiousness_ratio,neuroticism_ratio,openness_ratio
61,4,13,0.7832,0.2169,0.0924,0.1435,0.0616,0.3462,0.0272,0.0004,0.0132,0.0004,0.0249
18,1,9,0.925,0.2269,0.1022,0.0936,0.0879,0.2871,0.0356,0.0221,0.0142,0.004,0.0285
17,2,8,0.9043,0.2995,0.0594,0.2566,0.0549,0.3951,0.0845,0.0044,0.0228,0.0013,0.0102
129,9,12,0.7207,0.1961,0.1117,0.1345,0.0932,0.2457,0.0455,0.0225,0.0143,0.0009,0.0418
108,9,11,0.6981,0.19,0.1281,0.0957,0.065,0.2929,0.0195,0.0043,0.0057,0.0019,0.0319
2,1,1,0.9952,0.073,0.023,0.2429,0.0524,0.515,0.0476,0.0024,0.0,0.0024,0.0024
37,3,9,0.8678,0.2036,0.1264,0.0858,0.0683,0.3524,0.0235,0.006,0.0356,0.0034,0.0271
19,1,13,0.9374,0.2586,0.1032,0.1937,0.0367,0.3838,0.0322,0.0071,0.0095,0.0001,0.0234
51,3,15,0.8342,0.2333,0.0825,0.1807,0.0563,0.3136,0.0687,0.0046,0.0449,0.0023,0.0169
55,3,14,0.8161,0.2025,0.083,0.141,0.0701,0.3311,0.0429,0.0197,0.0152,0.0013,0.0325
90,6,14,0.7498,0.1769,0.1343,0.1104,0.0703,0.251,0.0168,0.0004,0.0216,0.0008,0.03
122,8,13,0.7185,0.171,0.1359,0.1163,0.071,0.1952,0.0129,0.0024,0.0112,0.0039,0.0381
169,10,15,0.6546,0.1569,0.1239,0.0975,0.093,0.2952,0.0306,0.0021,0.0148,0.0011,0.0383
73,4,14,0.7715,0.1901,0.1405,0.0848,0.0469,0.2297,0.0317,0.0095,0.0091,0.0022,0.0439
85,6,14,0.7498,0.1643,0.1204,0.0916,0.0884,0.2112,0.0209,0.0075,0.0087,0.0027,0.0377
43,4,7,0.8635,0.2178,0.0862,0.2041,0.0778,0.2021,0.0221,0.0,0.0155,0.0004,0.0114
91,6,14,0.7695,0.2227,0.0968,0.1155,0.0575,0.2303,0.0153,0.003,0.0103,0.0016,0.0237
223,13,16,0.579,0.2026,0.1226,0.0889,0.0681,0.2568,0.0126,0.0033,0.0096,0.001,0.0269
37,3,12,0.8655,0.2219,0.1535,0.112,0.0627,0.4226,0.0686,0.0182,0.015,0.0034,0.0462
72,4,16,0.782,0.1652,0.1193,0.1026,0.0694,0.2716,0.0214,0.004,0.0114,0.0048,0.0274
66,5,13,0.8058,0.1389,0.1167,0.083,0.0962,0.2363,0.0213,0.0073,0.0134,0.0051,0.0333
75,5,13,0.8094,0.1876,0.1208,0.0978,0.0709,0.2367,0.0084,0.0012,0.0083,0.0016,0.0264
23,2,8,0.9364,0.2255,0.0854,0.2064,0.0567,0.5208,0.051,0.0,0.0342,0.0,0.0161
86,4,23,0.7932,0.1765,0.1328,0.0954,0.0744,0.2052,0.0158,0.0054,0.0131,0.0035,0.0343
61,5,11,0.7684,0.1492,0.1103,0.1301,0.0832,0.2576,0.0266,0.003,0.0144,0.0026,0.0303
93,8,11,0.6989,0.1602,0.1236,0.0886,0.0822,0.3219,0.0359,0.0134,0.0101,0.0023,0.0464
26,3,8,0.91,0.212,0.0925,0.2142,0.0743,0.4042,0.0327,0.0,0.0106,0.0,0.0191
147,9,16,0.7169,0.2245,0.1269,0.0897,0.0596,0.1725,0.0101,0.0024,0.006,0.0014,0.0255
