model,group,threshold,num_samples,mean_initial_distance,mean_distance_change,mean_rouge_change,num_rouge_improved,num_rouge_worsened,pct_rouge_improved,pct_rouge_worsened
GEMMA-2-2B,high_distance,0.5521,476,0.6140,-0.0293,0.0247,300,127,63.0252,26.6807
GEMMA-2-2B,low_distance,0.5521,1428,0.4352,0.0130,0.0118,865,552,60.5742,38.6555
MINISTRAL-8B-INSTRUCT,high_distance,0.5681,476,0.6274,-0.0414,0.0296,281,148,59.0336,31.0924
MINISTRAL-8B-INSTRUCT,low_distance,0.5681,1428,0.4572,-0.0086,0.0133,847,569,59.3137,39.8459
GEMMA-2-9B,high_distance,0.5628,476,0.6250,-0.0709,0.0416,313,119,65.7563,25.0000
GEMMA-2-9B,low_distance,0.5628,1428,0.4466,-0.0255,0.0230,890,527,62.3249,36.9048
LLAMA-3.2-3B,high_distance,0.6159,476,0.6715,-0.0591,0.0178,324,112,68.0672,23.5294
LLAMA-3.2-3B,low_distance,0.6159,1428,0.5094,-0.0320,0.0138,912,494,63.8655,34.5938
LLAMA-3.1-8B,high_distance,0.6923,476,0.7413,-0.1812,0.0409,369,72,77.5210,15.1261
LLAMA-3.1-8B,low_distance,0.6923,1428,0.5880,-0.1069,0.0275,1042,368,72.9692,25.7703
GEMMA-2-27B,high_distance,0.5467,476,0.6133,-0.0649,0.0494,315,123,66.1765,25.8403
GEMMA-2-27B,low_distance,0.5467,1428,0.4298,-0.0246,0.0289,933,480,65.3361,33.6134
