num_tokens,num_sents,avg_sentence_length,type_token_ratio,noun_ratio,verb_ratio,adj_ratio,adv_ratio,sentiment_polarity,extraversion_ratio,agreeableness_ratio,conscientiousness_ratio,neuroticism_ratio,openness_ratio
41,4,10,0.8049,0.1463,0.122,0.1463,0.0732,0.1639,0.0,0.0244,0.0244,0.0244,0.0244
10,2,5,1.0,0.2,0.2,0.1,0.0,0.275,0.0,0.0,0.0,0.0,0.0
23,3,8,0.8696,0.2609,0.1304,0.1304,0.0,0.6667,0.0,0.0,0.0,0.0,0.0
53,5,11,0.7547,0.2453,0.0566,0.1132,0.1132,0.0071,0.0377,0.0377,0.0189,0.0,0.0377
41,2,20,0.7805,0.122,0.122,0.1463,0.0732,0.3222,0.0488,0.0,0.0,0.0,0.0244
1,1,1,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
32,3,11,0.875,0.1875,0.125,0.0937,0.0312,0.55,0.0312,0.0,0.0,0.0,0.0312
6,1,6,1.0,0.6667,0.0,0.3333,0.0,0.5,0.1667,0.0,0.0,0.0,0.0
52,4,13,0.75,0.1731,0.0577,0.1731,0.0577,0.3079,0.0577,0.0,0.0,0.0,0.0385
39,3,13,0.8205,0.2051,0.0769,0.1026,0.0769,0.5444,0.1282,0.1026,0.0256,0.0,0.1026
48,5,10,0.7292,0.1667,0.1042,0.1042,0.0417,0.48,0.0417,0.0,0.0208,0.0,0.0
64,6,11,0.6875,0.1719,0.0937,0.1562,0.0312,0.3427,0.0469,0.0,0.0,0.0,0.0156
77,7,11,0.7532,0.1688,0.1299,0.1039,0.0519,0.2444,0.013,0.0,0.0,0.0,0.026
61,4,15,0.7705,0.1803,0.1148,0.0984,0.0656,0.0194,0.0164,0.0,0.0,0.0,0.0984
85,8,11,0.6824,0.1412,0.0941,0.1176,0.1176,0.1907,0.0,0.0118,0.0,0.0118,0.0118
22,3,7,0.9091,0.0909,0.1364,0.1364,0.1364,0.1562,0.0,0.0,0.0,0.0,0.0
19,3,6,0.9474,0.1053,0.1579,0.1579,0.1053,-0.525,0.0,0.0,0.0,0.0,0.0526
112,7,16,0.6875,0.1875,0.125,0.1161,0.0446,0.2983,0.0089,0.0,0.0089,0.0,0.0268
32,4,8,0.875,0.25,0.125,0.0625,0.0312,0.65,0.0312,0.0,0.0,0.0,0.0312
31,4,8,0.7742,0.0968,0.0968,0.1613,0.0323,-0.0778,0.0,0.0,0.0,0.0,0.0323
49,5,10,0.8367,0.2041,0.0612,0.102,0.0408,0.625,0.0408,0.0204,0.0,0.0,0.0612
38,4,10,0.8158,0.2632,0.0526,0.1316,0.0526,0.3861,0.0263,0.0,0.0,0.0,0.0263
6,1,6,1.0,0.5,0.0,0.3333,0.0,0.5042,0.0,0.0,0.0,0.0,0.0
75,5,15,0.6933,0.24,0.0933,0.1733,0.0267,0.5055,0.0,0.0,0.0,0.0,0.04
46,4,12,0.8261,0.1739,0.1522,0.087,0.0435,0.5343,0.0217,0.0,0.0,0.0,0.0
64,6,11,0.75,0.2031,0.0781,0.0937,0.0625,0.4375,0.0312,0.0,0.0,0.0,0.0156
