num_tokens,num_sents,avg_sentence_length,type_token_ratio,noun_ratio,verb_ratio,adj_ratio,adv_ratio,sentiment_polarity,extraversion_ratio,agreeableness_ratio,conscientiousness_ratio,neuroticism_ratio,openness_ratio
106,6,18,0.6321,0.1698,0.1226,0.1038,0.0377,-0.0139,0.0,0.0,0.0,0.0,0.066
91,5,18,0.6813,0.1978,0.1099,0.0769,0.011,0.3286,0.0,0.0,0.0,0.0,0.011
112,6,19,0.6607,0.2411,0.0982,0.1071,0.0357,0.4063,0.0089,0.0089,0.0,0.0,0.0446
39,3,13,0.6923,0.1538,0.2564,0.0,0.0769,0.0,0.0,0.0,0.0,0.0,0.1026
105,5,21,0.6952,0.1619,0.0857,0.1429,0.0571,0.0026,0.0,0.0,0.0,0.0095,0.0286
103,6,17,0.7087,0.2524,0.0777,0.0971,0.0291,0.3561,0.0097,0.0097,0.0,0.0,0.0388
90,6,15,0.6778,0.2444,0.0889,0.0778,0.0222,-0.0238,0.0,0.0,0.0,0.0111,0.0222
99,5,20,0.7778,0.1919,0.1111,0.101,0.0808,0.2655,0.0,0.0,0.0,0.0,0.0404
98,10,10,0.6122,0.2143,0.1531,0.0714,0.0306,0.1361,0.0,0.0,0.0,0.0,0.0408
107,6,18,0.6822,0.1589,0.1682,0.1028,0.0467,0.2641,0.0,0.0,0.0,0.0,0.028
103,6,17,0.6699,0.165,0.0971,0.0874,0.0291,0.0954,0.0,0.0,0.0,0.0,0.0194
106,6,18,0.7736,0.1981,0.1226,0.1226,0.0283,0.2994,0.0,0.0,0.0,0.0,0.0094
76,5,15,0.75,0.2368,0.0395,0.1053,0.0132,0.3393,0.0,0.0,0.0,0.0,0.0
96,6,16,0.7187,0.2187,0.1042,0.0729,0.0208,0.0679,0.0104,0.0104,0.0,0.0,0.0312
108,5,22,0.6667,0.213,0.1019,0.0648,0.0463,0.2478,0.037,0.0,0.0185,0.0093,0.0093
112,6,19,0.6875,0.1696,0.0893,0.1339,0.0625,0.3729,0.0089,0.0089,0.0,0.0,0.0179
101,6,17,0.7327,0.1683,0.1089,0.0891,0.0792,-0.0767,0.0,0.0,0.0099,0.0,0.0396
107,7,15,0.6449,0.243,0.0748,0.1121,0.0187,0.2462,0.0,0.0,0.0093,0.0,0.0093
84,3,28,0.7619,0.2262,0.0952,0.1071,0.0119,0.0036,0.0,0.0,0.0,0.0,0.0119
107,6,18,0.7103,0.1869,0.1121,0.0841,0.0748,0.2319,0.0093,0.0,0.0187,0.0,0.0374
60,4,15,0.65,0.1667,0.1333,0.0167,0.0333,0.0,0.0,0.0,0.0,0.0,0.0167
104,6,17,0.6923,0.2596,0.0865,0.1058,0.0192,0.2149,0.0,0.0,0.0,0.0,0.0288
107,7,15,0.6542,0.243,0.1402,0.0841,0.0374,0.2,0.0,0.0,0.0093,0.0,0.0187
109,5,22,0.7615,0.2202,0.0917,0.1009,0.0183,0.4617,0.0,0.0,0.0,0.0,0.0092
102,6,17,0.6961,0.1961,0.1471,0.0882,0.0294,0.235,0.0,0.0,0.0,0.0,0.0588
43,4,11,0.6744,0.186,0.2093,0.0,0.0465,0.0,0.0,0.0,0.0,0.0,0.0233
111,5,22,0.5946,0.1982,0.1261,0.0631,0.045,0.1185,0.009,0.0,0.009,0.0,0.018
102,6,17,0.6961,0.2255,0.1373,0.1176,0.0196,0.3391,0.0196,0.0098,0.0,0.0,0.0588
92,6,15,0.4891,0.2065,0.0543,0.0326,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,5,21,0.6887,0.1415,0.1132,0.1321,0.0472,0.0702,0.0,0.0,0.0094,0.0,0.0377
104,6,17,0.6635,0.2596,0.0769,0.1346,0.0481,0.2346,0.0,0.0,0.0,0.0,0.0385
72,6,12,0.7917,0.2222,0.125,0.0139,0.0278,0.0167,0.0,0.0,0.0,0.0,0.0
95,6,16,0.6947,0.1895,0.1053,0.0842,0.0316,0.0722,0.0,0.0,0.0,0.0,0.0316
106,5,21,0.7358,0.1792,0.1038,0.1226,0.0377,0.4247,0.0,0.0,0.0094,0.0,0.0189
108,6,18,0.6574,0.2222,0.0741,0.1389,0.0463,0.5091,0.0,0.0,0.0093,0.0,0.0093
112,6,19,0.7054,0.2054,0.125,0.0804,0.0268,0.1917,0.0,0.0,0.0,0.0089,0.0179
110,5,22,0.7,0.1727,0.1091,0.0909,0.0636,0.1354,0.0091,0.0,0.0,0.0,0.0182
101,5,20,0.7822,0.2178,0.1287,0.1287,0.0594,0.4758,0.0,0.0,0.0,0.0,0.0198
110,6,18,0.6,0.2273,0.1,0.0909,0.0091,0.3565,0.0,0.0,0.0,0.0,0.0364
