Model,k,Mean,Median,Std,Min,Max,Zero_Count,Zero_Percentage,Bin_0_Count,Bin_0_Percentage,Bin_0-0.05_Count,Bin_0-0.05_Percentage,Bin_0.05-0.1_Count,Bin_0.05-0.1_Percentage,Bin_0.1-0.15_Count,Bin_0.1-0.15_Percentage,Bin_0.15-0.2_Count,Bin_0.15-0.2_Percentage,Bin_0.2-0.25_Count,Bin_0.2-0.25_Percentage,Bin_0.25-0.3_Count,Bin_0.25-0.3_Percentage,Bin_>0.3_Count,Bin_>0.3_Percentage,Q1,Q3,IQR
GEMMA-2-27B,0,0.1242,0.1277,0.0527,0.0,0.2927,67,3.52,67,3.52,110,5.78,381,20.01,723,37.97,511,26.84,97,5.09,15,0.79,0,0.0,0.0922,0.1608,0.0686
GEMMA-2-27B,10,0.1582,0.1494,0.101,0.0,1.0,106,5.57,106,5.57,23,1.21,225,11.82,615,32.3,585,30.72,211,11.08,56,2.94,83,4.36,0.1118,0.1875,0.0757
GEMMA-2-27B,50,0.1568,0.1481,0.0998,0.0,1.0,104,5.46,104,5.46,38,2.0,226,11.87,618,32.46,565,29.67,209,10.98,69,3.62,75,3.94,0.1127,0.186,0.0734
GEMMA-2-9B,0,0.1219,0.1265,0.0516,0.0,0.281,66,3.47,66,3.47,134,7.04,376,19.75,738,38.76,502,26.37,82,4.31,6,0.32,0,0.0,0.0917,0.1584,0.0668
GEMMA-2-9B,10,0.1495,0.1443,0.0938,0.0,1.0,101,5.3,101,5.3,47,2.47,248,13.03,641,33.67,584,30.67,181,9.51,42,2.21,60,3.15,0.1081,0.1786,0.0705
GEMMA-2-9B,50,0.1511,0.1463,0.0949,0.0,1.0,102,5.36,102,5.36,36,1.89,260,13.66,610,32.04,625,32.83,172,9.03,42,2.21,57,2.99,0.11,0.1795,0.0694
LLAMA-3.1-8B,0,0.0982,0.1045,0.0465,0.0,0.2464,80,4.2,80,4.2,263,13.81,535,28.1,797,41.86,217,11.4,12,0.63,0,0.0,0,0.0,0.0656,0.1325,0.0669
LLAMA-3.1-8B,10,0.129,0.1311,0.0688,0.0,0.9371,72,3.78,72,3.78,126,6.62,349,18.33,702,36.87,513,26.94,109,5.72,10,0.53,23,1.21,0.0923,0.1625,0.0702
LLAMA-3.1-8B,50,0.1297,0.1333,0.066,0.0,0.9515,71,3.73,71,3.73,119,6.25,329,17.28,696,36.55,560,29.41,101,5.3,10,0.53,18,0.95,0.0952,0.1635,0.0683
LLAMA-3.2-3B,0,0.1086,0.1151,0.0495,0.0,0.2549,68,3.57,68,3.57,216,11.34,435,22.85,796,41.81,356,18.7,31,1.63,2,0.11,0,0.0,0.0752,0.1444,0.0693
LLAMA-3.2-3B,10,0.1233,0.1293,0.0572,0.0,0.8421,60,3.15,60,3.15,146,7.67,359,18.86,720,37.82,534,28.05,70,3.68,8,0.42,7,0.37,0.0909,0.1584,0.0674
LLAMA-3.2-3B,50,0.1255,0.132,0.0579,0.0,0.6445,58,3.05,58,3.05,139,7.3,363,19.07,714,37.5,526,27.63,85,4.46,11,0.58,8,0.42,0.0909,0.1596,0.0687
